src_urn,src_corpus,src_id,dst_corpus,dst_id,dst_urn,raw_match,char_offset
urn:us-la:rs:14:40.9,rs,14:40.9,rs,14:34.8,urn:us-la:rs:14:34.8,R.S. 14:34.8,1115
urn:us-la:rs:14:40.9,rs,14:40.9,rs,14:34.8,urn:us-la:rs:14:34.8,R.S. 14:34.8,1203
urn:us-la:rs:14:40.9,rs,14:40.9,rs,14:34.8,urn:us-la:rs:14:34.8,R.S. 14:34.8,1456
urn:us-la:rs:14:42,rs,14:42,crp,782,,Code of Criminal Procedure Article 782,2070
urn:us-la:rs:14:42,rs,14:42,crp,782,,Code of Criminal Procedure Article 782,2391
urn:us-la:rs:14:43.1.1,rs,14:43.1.1,crp,894,,Code of Criminal Procedure Article 894,735
urn:us-la:rs:14:43.5,rs,14:43.5,rs,40:1131,urn:us-la:rs:40:1131,R.S. 40:1131,1106
urn:us-la:rs:14:43.6,rs,14:43.6,rs,14:42,urn:us-la:rs:14:42,R.S. 14:42,90
urn:us-la:rs:14:43.6,rs,14:43.6,rs,14:42.1,urn:us-la:rs:14:42.1,R.S. 14:42.1,136
urn:us-la:rs:14:43.6,rs,14:43.6,rs,14:43.1,urn:us-la:rs:14:43.1,R.S. 14:43.1,183
urn:us-la:rs:14:43.6,rs,14:43.6,rs,14:43.2,urn:us-la:rs:14:43.2,R.S. 14:43.2,265
urn:us-la:rs:14:43.6,rs,14:43.6,rs,14:81.2,urn:us-la:rs:14:81.2,R.S. 14:81.2,310
urn:us-la:rs:14:43.6,rs,14:43.6,rs,14:89.1,urn:us-la:rs:14:89.1,R.S. 14:89.1,407
urn:us-la:rs:14:43.6,rs,14:43.6,rs,14:42,urn:us-la:rs:14:42,R.S. 14:42,758
urn:us-la:rs:14:43.6,rs,14:43.6,rs,14:42.1,urn:us-la:rs:14:42.1,R.S. 14:42.1,805
urn:us-la:rs:14:43.6,rs,14:43.6,rs,14:43.1,urn:us-la:rs:14:43.1,R.S. 14:43.1,852
urn:us-la:rs:14:43.6,rs,14:43.6,rs,14:43.2,urn:us-la:rs:14:43.2,R.S. 14:43.2,934
urn:us-la:rs:14:43.6,rs,14:43.6,rs,14:81.2,urn:us-la:rs:14:81.2,R.S. 14:81.2,979
urn:us-la:rs:14:43.6,rs,14:43.6,rs,14:89.1,urn:us-la:rs:14:89.1,R.S. 14:89.1,1076
urn:us-la:rs:14:43.7,rs,14:43.7,rs,15:541,urn:us-la:rs:15:541,R.S. 15:541,112
urn:us-la:rs:14:43.7,rs,14:43.7,rs,15:541,urn:us-la:rs:15:541,R.S. 15:541,173
urn:us-la:rs:14:43.7,rs,14:43.7,rs,14:43.1,urn:us-la:rs:14:43.1,R.S. 14:43.1,225
urn:us-la:rs:14:44.1,rs,14:44.1,rs,15:541,urn:us-la:rs:15:541,R.S. 15:541,467
urn:us-la:rs:14:44.1,rs,14:44.1,rs,14:45,urn:us-la:rs:14:45,R.S. 14:45,562
urn:us-la:rs:14:44.1,rs,14:44.1,rs,14:110,urn:us-la:rs:14:110,R.S. 14:110,961
urn:us-la:rs:14:44.2,rs,14:44.2,rs,14:44.1,urn:us-la:rs:14:44.1,R.S. 14:44.1,725
urn:us-la:rs:14:44.2,rs,14:44.2,rs,15:541,urn:us-la:rs:15:541,R.S. 15:541,861
urn:us-la:rs:14:46.2,rs,14:46.2,rs,15:541,urn:us-la:rs:15:541,R.S. 15:541,1798
urn:us-la:rs:14:46.2,rs,14:46.2,rs,40:961,urn:us-la:rs:40:961,R.S. 40:961,4843
urn:us-la:rs:14:46.2,rs,14:46.2,rs,14:66,urn:us-la:rs:14:66,R.S. 14:66,5121
urn:us-la:rs:14:46.2,rs,14:46.2,rs,15:541,urn:us-la:rs:15:541,R.S. 15:541,6175
urn:us-la:rs:14:46.2,rs,14:46.2,rs,14:82,urn:us-la:rs:14:82,R.S. 14:82,6336
urn:us-la:rs:14:46.2,rs,14:46.2,rs,14:83.3,urn:us-la:rs:14:83.3,R.S. 14:83.3,6368
urn:us-la:rs:14:46.2,rs,14:46.2,rs,14:83.4,urn:us-la:rs:14:83.4,R.S. 14:83.4,6413
urn:us-la:rs:14:46.2,rs,14:46.2,rs,14:89,urn:us-la:rs:14:89,R.S. 14:89,6469
urn:us-la:rs:14:46.2,rs,14:46.2,rs,14:89.2,urn:us-la:rs:14:89.2,R.S. 14:89.2,6509
urn:us-la:rs:14:50.2,rs,14:50.2,rs,14:2,urn:us-la:rs:14:2,R.S. 14:2,202
urn:us-la:rs:14:50.2,rs,14:50.2,rs,14:30,urn:us-la:rs:14:30,R.S. 14:30,258
urn:us-la:rs:14:50.2,rs,14:50.2,rs,14:30.1,urn:us-la:rs:14:30.1,R.S. 14:30.1,293
urn:us-la:rs:14:50.2,rs,14:50.2,rs,14:37,urn:us-la:rs:14:37,R.S. 14:37,328
urn:us-la:rs:14:50.2,rs,14:50.2,rs,14:42,urn:us-la:rs:14:42,R.S. 14:42,374
urn:us-la:rs:14:50.2,rs,14:50.2,rs,14:44,urn:us-la:rs:14:44,R.S. 14:44,414
urn:us-la:rs:14:52,rs,14:52,rs,14:51,urn:us-la:rs:14:51,R.S. 14:51,208
urn:us-la:rs:14:52.2,rs,14:52.2,rs,33:4771,urn:us-la:rs:33:4771,R.S. 33:4771,66
urn:us-la:rs:14:52.2,rs,14:52.2,rs,15:562.3,urn:us-la:rs:15:562.3,R.S. 15:562.3,2017
urn:us-la:rs:14:52.2,rs,14:52.2,rs,3:17,urn:us-la:rs:3:17,R.S. 3:17,2223
urn:us-la:rs:14:54.2,rs,14:54.2,rs,40:1472.1,urn:us-la:rs:40:1472.1,R.S. 40:1472.1,77
urn:us-la:rs:14:54.2,rs,14:54.2,rs,51:650,urn:us-la:rs:51:650,R.S. 51:650,559
urn:us-la:rs:14:54.3,rs,14:54.3,rs,40:1472.1,urn:us-la:rs:40:1472.1,R.S. 40:1472.1,79
urn:us-la:rs:14:54.3,rs,14:54.3,rs,25:799,urn:us-la:rs:25:799,R.S. 25:799,1222
urn:us-la:rs:14:54.3,rs,14:54.3,rs,33:2740.3,urn:us-la:rs:33:2740.3,R.S. 33:2740.3,1287
urn:us-la:rs:14:54.3,rs,14:54.3,rs,33:130.862,urn:us-la:rs:33:130.862,R.S. 33:130.862,1408
urn:us-la:rs:14:54.3,rs,14:54.3,rs,51:650,urn:us-la:rs:51:650,R.S. 51:650,2080
urn:us-la:rs:14:54.4,rs,14:54.4,rs,14:54.3,urn:us-la:rs:14:54.3,R.S. 14:54.3,580
urn:us-la:rs:14:54.4,rs,14:54.4,rs,14:54.2,urn:us-la:rs:14:54.2,R.S. 14:54.2,1373
urn:us-la:rs:14:54.4,rs,14:54.4,rs,14:54.2,urn:us-la:rs:14:54.2,R.S. 14:54.2,2488
urn:us-la:rs:14:54.4,rs,14:54.4,rs,14:54.2,urn:us-la:rs:14:54.2,R.S. 14:54.2,3410
urn:us-la:rs:14:54.4,rs,14:54.4,rs,14:54.3,urn:us-la:rs:14:54.3,R.S. 14:54.3,3426
urn:us-la:rs:14:54.4,rs,14:54.4,rs,14:54.4,urn:us-la:rs:14:54.4,R.S. 14:54.4,4318
urn:us-la:rs:14:54.4,rs,14:54.4,rs,14:54.2,urn:us-la:rs:14:54.2,R.S. 14:54.2,5112
urn:us-la:rs:14:54.4,rs,14:54.4,rs,14:54.3,urn:us-la:rs:14:54.3,R.S. 14:54.3,5128
urn:us-la:rs:14:54.4,rs,14:54.4,rs,14:54.4,urn:us-la:rs:14:54.4,R.S. 14:54.4,6467
urn:us-la:rs:14:54.5,rs,14:54.5,rs,14:54.3,urn:us-la:rs:14:54.3,R.S. 14:54.3,863
urn:us-la:rs:14:56,rs,14:56,rs,14:55,urn:us-la:rs:14:55,R.S. 14:55,157
urn:us-la:rs:14:61.1,rs,14:61.1,rs,14:61,urn:us-la:rs:14:61,R.S. 14:61,119
urn:us-la:rs:14:61.1,rs,14:61.1,rs,14:26,urn:us-la:rs:14:26,R.S. 14:26,914
urn:us-la:rs:14:61.1,rs,14:61.1,rs,14:26,urn:us-la:rs:14:26,R.S. 14:26,980
urn:us-la:rs:14:61.1,rs,14:61.1,crp,883.2,,Code of Criminal Procedure Article 883.2,843
urn:us-la:rs:14:62,rs,14:62,rs,14:60,urn:us-la:rs:14:60,R.S. 14:60,259
urn:us-la:rs:14:62.2,rs,14:62.2,rs,14:60,urn:us-la:rs:14:60,R.S. 14:60,290
urn:us-la:rs:14:62.7,rs,14:62.7,rs,29:721,urn:us-la:rs:29:721,R.S. 29:721,478
urn:us-la:rs:14:63,rs,14:63,rs,14:337,urn:us-la:rs:14:337,R.S. 14:337,499
urn:us-la:rs:14:63,rs,14:63,rs,14:337,urn:us-la:rs:14:337,R.S. 14:337,1874
urn:us-la:rs:14:63,rs,14:63,rs,37:682,urn:us-la:rs:37:682,R.S. 37:682,4053
urn:us-la:rs:14:63,rs,14:63,rs,56:8,urn:us-la:rs:56:8,R.S. 56:8,7126
urn:us-la:rs:14:63,rs,14:63,rs,56:40.1,urn:us-la:rs:56:40.1,R.S. 56:40.1,7417
urn:us-la:rs:14:63,rs,14:63,rs,56:40.2,urn:us-la:rs:56:40.2,R.S. 56:40.2,7588
urn:us-la:rs:14:63,rs,14:63,rs,3:3622,urn:us-la:rs:3:3622,R.S. 3:3622,9292
urn:us-la:rs:14:63,rs,14:63,ccp,4704,,Code of Civil Procedure Article 4704,1240
urn:us-la:rs:14:63,rs,14:63,ccp,4702,,Code of Civil Procedure Article 4702,1372
urn:us-la:rs:14:63.3,rs,14:63.3,rs,3:3622,urn:us-la:rs:3:3622,R.S. 3:3622,1417
urn:us-la:rs:14:63.4,rs,14:63.4,rs,3:3622,urn:us-la:rs:3:3622,R.S. 3:3622,1423
urn:us-la:rs:14:64.2,rs,14:64.2,rs,32:1,urn:us-la:rs:32:1,R.S. 32:1,74
urn:us-la:rs:14:64.2.1,rs,14:64.2.1,rs,14:64.2,urn:us-la:rs:14:64.2,R.S. 14:64.2,212
urn:us-la:rs:14:64.3,rs,14:64.3,rs,14:64,urn:us-la:rs:14:64,R.S. 14:64,384
urn:us-la:rs:14:64.3,rs,14:64.3,rs,14:27,urn:us-la:rs:14:27,R.S. 14:27,791
urn:us-la:rs:14:66,rs,14:66,rs,14:87.1,urn:us-la:rs:14:87.1,R.S. 14:87.1,1261
urn:us-la:rs:14:66,rs,14:66,crp,215,,Code of Criminal Procedure Article 215,610
urn:us-la:rs:14:67.1,rs,14:67.1,rs,3:663,urn:us-la:rs:3:663,R.S. 3:663,595
urn:us-la:rs:14:67.1,rs,14:67.1,rs,3:663,urn:us-la:rs:3:663,R.S. 3:663,908
urn:us-la:rs:14:67.1,rs,14:67.1,rs,3:663,urn:us-la:rs:3:663,R.S. 3:663,1542
urn:us-la:rs:14:67.1,rs,14:67.1,rs,3:663,urn:us-la:rs:3:663,R.S. 3:663,1788
urn:us-la:rs:14:67.3,rs,14:67.3,crp,883.2,,Code of Criminal Procedure Article 883.2,473
urn:us-la:rs:14:67.4,rs,14:67.4,crp,883.2,,Code of Criminal Procedure Article 883.2,3640
urn:us-la:rs:14:67.6,rs,14:67.6,crp,883.2,,Code of Criminal Procedure Article 883.2,1737
urn:us-la:rs:14:67.7,rs,14:67.7,crp,883.2,,Code of Criminal Procedure Article 883.2,1729
urn:us-la:rs:14:67.13,rs,14:67.13,crp,883.2,,Code of Criminal Procedure Article 883.2,1110
urn:us-la:rs:14:67.16,rs,14:67.16,rs,51:1741.1,urn:us-la:rs:51:1741.1,R.S. 51:1741.1,9658
urn:us-la:rs:14:67.19.1,rs,14:67.19.1,rs,3:1355,urn:us-la:rs:3:1355,R.S. 3:1355,606
urn:us-la:rs:14:67.24,rs,14:67.24,rs,14:69,urn:us-la:rs:14:69,R.S. 14:69,106
urn:us-la:rs:14:67.24,rs,14:67.24,rs,14:61,urn:us-la:rs:14:61,R.S. 14:61,336
urn:us-la:rs:14:68.2,rs,14:68.2,rs,14:68.2.1,urn:us-la:rs:14:68.2.1,R.S. 14:68.2.1,34
urn:us-la:rs:14:68.2.1,rs,14:68.2.1,rs,14:68.2,urn:us-la:rs:14:68.2,R.S. 14:68.2,359
urn:us-la:rs:14:68.2.1,rs,14:68.2.1,rs,46:114.1,urn:us-la:rs:46:114.1,R.S. 46:114.1,471
urn:us-la:rs:14:68.4.2,rs,14:68.4.2,rs,14:68.4.1,urn:us-la:rs:14:68.4.1,R.S. 14:68.4.1,110
urn:us-la:rs:14:69.1,rs,14:69.1,rs,9:4502,urn:us-la:rs:9:4502,R.S. 9:4502,836
urn:us-la:rs:14:70.4,rs,14:70.4,crp,883.2,,Code of Criminal Procedure Article 883.2,3056
